Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
bp27,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday September 8, 2015:Strategic Hotels & Resorts to be Acquired by Blackstone for $14.25/Share",9/8/2015 21:02:00,"Benzinga's M&A Chatter for Tuesday September 8, 2015",NA,,,,,,,,,,
bp27,1,"Strategic Hotels & Resorts, Inc. (NYSE: BEE) announced Tuesday, that it has entered into a definitive agreement with affiliates of Blackstone Real Estate Partners VIII L.P. (NYSE: BX), under which Blackstone will acquire all outstanding shares of common stock of Strategic Hotels & Resorts, Inc., for $14.25 per share in cash, and all of the outstanding membership units of the Company's subsidiary, Strategic Hotels Funding L.L.C., not held by the Company, for $14.25 per unit in cash. The transaction value is approximately $6 billion. The deal is expected to be completed by Q1 of 2016Strategic Hotels & Resorts closed at $14.07 on Tuesday, a gain of 3.5%. Microsoft Acquires Adallom",9/8/2015 21:02:00,"Benzinga's M&A Chatter for Tuesday September 8, 2015",The Deal:,,,,,,,,,,
bp27,2,"Microsoft's (NASDAQ: MSFT) Corporate Vice President, Cloud and Enterprise Marketing, Takeshi Numoto, announced Tuesday, that Microsoft has acquired Adallom, an innovator in cloud security and a leader in helping customers protect their critical assets across cloud applications. Terms of the deal were not disclosed, but Bloomberg reported the purchase price was $250 millionMicrosoft closed at $43.89 Tuesday, up 3%.Mylan to Launch Offer for Perrigo Directly to Perrigo Shareholders on Sept. 14The Offer: Mylan N.V. (NYSE: MYL) announced Tuesday, its intent to commence a formal offer to exchange all outstanding ordinary shares of Perrigo Company plc (NYSE: PRGO) on September 14, 2015. Under the terms of the offer, Perrigo shareholders will receive $75 in cash and 2.3 Mylan ordinary shares for each Perrigo ordinary share. Mylan shareholders have voted overwhelmingly in favor of the transaction.Perrigo shares closed at $180.65 Tuesday, a gain of 1%.Deal Reporter Says Big Pharma to Offer $300/Share for BlueBird Bio",9/8/2015 21:02:00,"Benzinga's M&A Chatter for Tuesday September 8, 2015",The Deal:,BE,,BX,,,,,,,
bp27,3,"Shares of BlueBird Bio (NASDAQ: BLUE) rose Tuesday, following a report from Deal Reporter that big pharma could pay up to $300 per share for the Cambridge-based biotech company. That report was based on a Life Sciences Report article dated September 2.BlueBird did not respond to a request for comment. BlueBird shares closed at $138.10 Tuesday, a gain of 6.79%.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",9/8/2015 21:02:00,"Benzinga's M&A Chatter for Tuesday September 8, 2015",The Rumor:,BLUE,,,,,,,,,
oN17,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday September 3, 2015:AOL to Acquire Millenial Media for $1.75/Share",9/3/2015 19:05:00,"Benzinga's M&A Chatter for Thursday September 3, 2015",NA,,,,,,,,,,
oN17,1,"AOL (NYSE: VZ) announced Thursday, it signed an agreement to acquire Millennial Media, Inc. (NYSE: MM), a leading end-to-end mobile platform, for $1.75 per share of Millennial Media common stock. The transaction is expected to close in the fall.Millenial Media closed at $1.74 Thursday, up 30%.Another Cisco for FireEye Rumor",9/3/2015 19:05:00,"Benzinga's M&A Chatter for Thursday September 3, 2015",The Deal:,MM,,VZ,,,,,,,
oN17,2,"Shares of FireEye (NASDAQ: FEYE) rose Thursday, on renewed unconfirmed chatter of a potential bid by Cisco (NASDAQ: CSCO). The rumored purchase price is $60 per share.The two companies have been mentioned on multiple occasions as a potential pairing. Cisco CEO John Chambers dismissed a previous FireEye rumor, during an earnings call in May.Spokespersons for the companies did not respond to requests for comment.FireEye shares closed at $36.86 Thursday, a loss of $0.61.Microsoft Acquires Volometrix; Terms Not Disclosed",9/3/2015 19:05:00,"Benzinga's M&A Chatter for Thursday September 3, 2015",The Rumor:,FEYE,,CSCO,,,,,,,
oN17,3,"Microsoft (NASDAQ: MSFT) announced Thursday, that it has agreed to acquire organizational analytics comaony VoloMetrix. Terms were not disclosed.Microsoft shares closed at $43.50 Thursday, a gain of $0.14.Allergan Acquires Aquesys for $300M Upfront Payment",9/3/2015 19:05:00,"Benzinga's M&A Chatter for Thursday September 3, 2015",The Deal:,,,MSFT,,,,,,,
oN17,4,"Allergan plc (NYSE: AGN) and medical device company AqueSys, Inc. announced Thursday that they have entered into an agreement under which Allergan will acquire AqueSys in an all-cash transaction for a $300 million upfront payment. In addition, there will be commercialization milestone payments related to AqueSys' lead development programs, including XEN45.Allergan anticipates closing the transaction in Q4 of 2015.Allergan shares closed at $297.44 Thursday, down $2.17.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",9/3/2015 19:05:00,"Benzinga's M&A Chatter for Thursday September 3, 2015",The Deal:,,,AGN,,,,,,,
ba90,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday September 2, 2015:Valeant Pharmaceuticals to Acquire Synergetics for $6.50/Share in Cash",9/2/2015 18:55:00,"Benzinga's M&A Chatter for Wednesday September 2, 2015",NA,,,,,,,,,,
